epoch,original_stage,original_binary,auto_suggestion,final_binary,corrected
0,Non-REM,Non-REM,Non-REM,Non-REM,False
1,Non-REM,Non-REM,REM,Non-REM,False
2,Non-REM,Non-REM,Non-REM,Non-REM,False
3,Non-REM,Non-REM,Non-REM,Non-REM,False
4,Non-REM,Non-REM,Non-REM,Non-REM,False
5,Non-REM,Non-REM,Non-REM,Non-REM,False
6,Non-REM,Non-REM,Non-REM,Non-REM,False
7,Non-REM,Non-REM,Non-REM,Non-REM,False
8,Non-REM,Non-REM,Non-REM,Non-REM,False
9,Non-REM,Non-REM,Non-REM,Non-REM,False
10,Non-REM,Non-REM,REM,Non-REM,False
11,Non-REM,Non-REM,REM,REM,True
12,REM,REM,Non-REM,Non-REM,True
13,Non-REM,Non-REM,Non-REM,Non-REM,False
14,Non-REM,Non-REM,Non-REM,Non-REM,False
15,Non-REM,Non-REM,Non-REM,Non-REM,False
16,Non-REM,Non-REM,REM,REM,True
17,Non-REM,Non-REM,Non-REM,Non-REM,False
18,REM,REM,REM,REM,False
19,Non-REM,Non-REM,Non-REM,Non-REM,False
20,REM,REM,Non-REM,Non-REM,True
21,Non-REM,Non-REM,Non-REM,Non-REM,False
22,Non-REM,Non-REM,Non-REM,Non-REM,False
23,Non-REM,Non-REM,Non-REM,Non-REM,False
24,Non-REM,Non-REM,Non-REM,Non-REM,False
25,Non-REM,Non-REM,Non-REM,Non-REM,False
26,Non-REM,Non-REM,Non-REM,Non-REM,False
27,Non-REM,Non-REM,Non-REM,Non-REM,False
28,Non-REM,Non-REM,Non-REM,Non-REM,False
29,Non-REM,Non-REM,REM,Non-REM,False
30,Non-REM,Non-REM,Non-REM,Non-REM,False
31,Non-REM,Non-REM,Non-REM,Non-REM,False
32,REM,REM,Non-REM,REM,False
33,Non-REM,Non-REM,REM,REM,True
34,Non-REM,Non-REM,REM,REM,True
35,Non-REM,Non-REM,REM,REM,True
36,Non-REM,Non-REM,Non-REM,Non-REM,False
37,Non-REM,Non-REM,Non-REM,Non-REM,False
38,Non-REM,Non-REM,REM,REM,True
39,Non-REM,Non-REM,REM,REM,True
40,Non-REM,Non-REM,Non-REM,Non-REM,False
41,Non-REM,Non-REM,Non-REM,Non-REM,False
42,Non-REM,Non-REM,Non-REM,Non-REM,False
43,Non-REM,Non-REM,Non-REM,Non-REM,False
44,Non-REM,Non-REM,Non-REM,Non-REM,False
45,Non-REM,Non-REM,Non-REM,Non-REM,False
46,Non-REM,Non-REM,Non-REM,Non-REM,False
47,Non-REM,Non-REM,Non-REM,Non-REM,False
48,Non-REM,Non-REM,Non-REM,Non-REM,False
49,Non-REM,Non-REM,Non-REM,Non-REM,False
50,Non-REM,Non-REM,Non-REM,Non-REM,False
51,Non-REM,Non-REM,REM,Non-REM,False
52,Non-REM,Non-REM,REM,Non-REM,False
53,Non-REM,Non-REM,Non-REM,Non-REM,False
54,REM,REM,Non-REM,Non-REM,True
55,Non-REM,Non-REM,Non-REM,Non-REM,False
56,Non-REM,Non-REM,REM,Non-REM,False
57,Non-REM,Non-REM,Non-REM,Non-REM,False
58,Non-REM,Non-REM,REM,Non-REM,False
59,Non-REM,Non-REM,Non-REM,Non-REM,False
60,REM,REM,Non-REM,Non-REM,True
61,Non-REM,Non-REM,REM,Non-REM,False
62,Non-REM,Non-REM,Non-REM,Non-REM,False
63,Non-REM,Non-REM,Non-REM,Non-REM,False
64,Non-REM,Non-REM,REM,Non-REM,False
65,Non-REM,Non-REM,Non-REM,Non-REM,False
66,Non-REM,Non-REM,Non-REM,Non-REM,False
67,Non-REM,Non-REM,Non-REM,Non-REM,False
68,Non-REM,Non-REM,Non-REM,Non-REM,False
69,Non-REM,Non-REM,Non-REM,Non-REM,False
70,REM,REM,REM,REM,False
71,Non-REM,Non-REM,REM,Non-REM,False
72,REM,REM,Non-REM,Non-REM,True
73,Non-REM,Non-REM,Non-REM,Non-REM,False
74,Non-REM,Non-REM,Non-REM,Non-REM,False
75,Non-REM,Non-REM,Non-REM,Non-REM,False
76,Non-REM,Non-REM,Non-REM,Non-REM,False
77,Non-REM,Non-REM,Non-REM,Non-REM,False
78,REM,REM,REM,REM,False
79,Non-REM,Non-REM,Non-REM,Non-REM,False
80,Non-REM,Non-REM,Non-REM,Non-REM,False
81,Non-REM,Non-REM,Non-REM,Non-REM,False
82,Non-REM,Non-REM,Non-REM,Non-REM,False
83,Non-REM,Non-REM,REM,Non-REM,False
84,REM,REM,Non-REM,Non-REM,True
85,Non-REM,Non-REM,Non-REM,Non-REM,False
86,Non-REM,Non-REM,Non-REM,Non-REM,False
87,Non-REM,Non-REM,Non-REM,Non-REM,False
88,Non-REM,Non-REM,Non-REM,Non-REM,False
89,Non-REM,Non-REM,Non-REM,Non-REM,False
90,REM,REM,Non-REM,Non-REM,True
91,Non-REM,Non-REM,Non-REM,Non-REM,False
92,Non-REM,Non-REM,Non-REM,Non-REM,False
93,Non-REM,Non-REM,Non-REM,Non-REM,False
94,Non-REM,Non-REM,Non-REM,Non-REM,False
95,Non-REM,Non-REM,Non-REM,Non-REM,False
96,Non-REM,Non-REM,Non-REM,Non-REM,False
97,Non-REM,Non-REM,Non-REM,Non-REM,False
98,Non-REM,Non-REM,Non-REM,Non-REM,False
99,Non-REM,Non-REM,Non-REM,Non-REM,False
100,Non-REM,Non-REM,Non-REM,Non-REM,False
101,Non-REM,Non-REM,Non-REM,Non-REM,False
102,Non-REM,Non-REM,Non-REM,Non-REM,False
103,Non-REM,Non-REM,Non-REM,Non-REM,False
104,Non-REM,Non-REM,Non-REM,Non-REM,False
105,Non-REM,Non-REM,Non-REM,Non-REM,False
106,Non-REM,Non-REM,REM,Non-REM,False
107,Non-REM,Non-REM,Non-REM,Non-REM,False
108,REM,REM,Non-REM,Non-REM,True
109,Non-REM,Non-REM,REM,Non-REM,False
110,REM,REM,REM,REM,False
111,Non-REM,Non-REM,Non-REM,Non-REM,False
112,REM,REM,Non-REM,Non-REM,True
113,Non-REM,Non-REM,Non-REM,Non-REM,False
114,Non-REM,Non-REM,Non-REM,Non-REM,False
115,Non-REM,Non-REM,Non-REM,Non-REM,False
116,Non-REM,Non-REM,Non-REM,Non-REM,False
117,Non-REM,Non-REM,Non-REM,Non-REM,False
118,Non-REM,Non-REM,Non-REM,Non-REM,False
119,Non-REM,Non-REM,Non-REM,Non-REM,False
120,Non-REM,Non-REM,Non-REM,Non-REM,False
121,Non-REM,Non-REM,Non-REM,Non-REM,False
122,REM,REM,Non-REM,Non-REM,True
123,Non-REM,Non-REM,Non-REM,Non-REM,False
124,REM,REM,Non-REM,Non-REM,True
125,Non-REM,Non-REM,Non-REM,Non-REM,False
126,REM,REM,Non-REM,Non-REM,True
127,Non-REM,Non-REM,REM,Non-REM,False
128,REM,REM,Non-REM,Non-REM,True
129,Non-REM,Non-REM,Non-REM,Non-REM,False
130,Non-REM,Non-REM,Non-REM,Non-REM,False
131,Non-REM,Non-REM,Non-REM,Non-REM,False
132,Non-REM,Non-REM,Non-REM,Non-REM,False
133,Non-REM,Non-REM,Non-REM,Non-REM,False
134,Non-REM,Non-REM,Non-REM,Non-REM,False
135,Non-REM,Non-REM,Non-REM,Non-REM,False
136,Non-REM,Non-REM,Non-REM,Non-REM,False
137,Non-REM,Non-REM,Non-REM,Non-REM,False
138,Non-REM,Non-REM,Non-REM,Non-REM,False
139,Non-REM,Non-REM,Non-REM,Non-REM,False
140,Non-REM,Non-REM,Non-REM,Non-REM,False
141,Non-REM,Non-REM,Non-REM,Non-REM,False
142,REM,REM,Non-REM,Non-REM,True
143,Non-REM,Non-REM,Non-REM,Non-REM,False
144,Non-REM,Non-REM,Non-REM,Non-REM,False
145,Non-REM,Non-REM,Non-REM,Non-REM,False
146,Non-REM,Non-REM,REM,Non-REM,False
147,Non-REM,Non-REM,REM,Non-REM,False
148,Non-REM,Non-REM,Non-REM,Non-REM,False
149,Non-REM,Non-REM,Non-REM,Non-REM,False
150,Non-REM,Non-REM,Non-REM,Non-REM,False
151,Non-REM,Non-REM,Non-REM,Non-REM,False
152,Non-REM,Non-REM,Non-REM,Non-REM,False
153,Non-REM,Non-REM,Non-REM,Non-REM,False
154,Non-REM,Non-REM,Non-REM,Non-REM,False
155,Non-REM,Non-REM,Non-REM,Non-REM,False
156,Non-REM,Non-REM,Non-REM,Non-REM,False
157,Non-REM,Non-REM,REM,Non-REM,False
158,Non-REM,Non-REM,Non-REM,Non-REM,False
159,Non-REM,Non-REM,Non-REM,Non-REM,False
160,Non-REM,Non-REM,Non-REM,Non-REM,False
161,Non-REM,Non-REM,Non-REM,Non-REM,False
162,Non-REM,Non-REM,Non-REM,Non-REM,False
163,Non-REM,Non-REM,Non-REM,Non-REM,False
164,Non-REM,Non-REM,Non-REM,Non-REM,False
165,Non-REM,Non-REM,Non-REM,Non-REM,False
166,Non-REM,Non-REM,Non-REM,Non-REM,False
167,Non-REM,Non-REM,Non-REM,Non-REM,False
168,Non-REM,Non-REM,Non-REM,Non-REM,False
169,Non-REM,Non-REM,Non-REM,Non-REM,False
170,Non-REM,Non-REM,Non-REM,Non-REM,False
171,Non-REM,Non-REM,Non-REM,Non-REM,False
172,REM,REM,REM,REM,False
173,Non-REM,Non-REM,Non-REM,Non-REM,False
174,Non-REM,Non-REM,REM,Non-REM,False
175,Non-REM,Non-REM,Non-REM,Non-REM,False
176,Non-REM,Non-REM,Non-REM,Non-REM,False
177,Non-REM,Non-REM,Non-REM,Non-REM,False
178,Non-REM,Non-REM,Non-REM,Non-REM,False
179,Non-REM,Non-REM,Non-REM,Non-REM,False
180,Non-REM,Non-REM,REM,Non-REM,False
181,Non-REM,Non-REM,Non-REM,Non-REM,False
182,Non-REM,Non-REM,Non-REM,Non-REM,False
183,Non-REM,Non-REM,Non-REM,Non-REM,False
184,Non-REM,Non-REM,Non-REM,Non-REM,False
185,Non-REM,Non-REM,Non-REM,Non-REM,False
186,Non-REM,Non-REM,REM,Non-REM,False
187,Non-REM,Non-REM,Non-REM,Non-REM,False
188,Non-REM,Non-REM,Non-REM,Non-REM,False
189,Non-REM,Non-REM,Non-REM,Non-REM,False
190,Non-REM,Non-REM,Non-REM,Non-REM,False
191,Non-REM,Non-REM,REM,REM,True
192,Non-REM,Non-REM,Non-REM,Non-REM,False
193,Non-REM,Non-REM,Non-REM,Non-REM,False
194,Non-REM,Non-REM,Non-REM,Non-REM,False
195,Non-REM,Non-REM,REM,Non-REM,False
196,Non-REM,Non-REM,REM,Non-REM,False
197,Non-REM,Non-REM,Non-REM,Non-REM,False
198,Non-REM,Non-REM,REM,Non-REM,False
199,Non-REM,Non-REM,Non-REM,Non-REM,False
200,Non-REM,Non-REM,Non-REM,Non-REM,False
201,Non-REM,Non-REM,REM,Non-REM,False
202,Non-REM,Non-REM,Non-REM,Non-REM,False
203,Non-REM,Non-REM,Non-REM,Non-REM,False
204,Non-REM,Non-REM,Non-REM,Non-REM,False
205,Non-REM,Non-REM,REM,Non-REM,False
206,Non-REM,Non-REM,Non-REM,Non-REM,False
207,Non-REM,Non-REM,REM,Non-REM,False
208,Non-REM,Non-REM,Non-REM,Non-REM,False
209,Non-REM,Non-REM,Non-REM,Non-REM,False
210,Non-REM,Non-REM,Non-REM,Non-REM,False
211,Non-REM,Non-REM,Non-REM,Non-REM,False
212,Non-REM,Non-REM,Non-REM,Non-REM,False
213,Non-REM,Non-REM,Non-REM,Non-REM,False
214,Non-REM,Non-REM,Non-REM,Non-REM,False
215,Non-REM,Non-REM,Non-REM,Non-REM,False
216,Non-REM,Non-REM,REM,Non-REM,False
217,Non-REM,Non-REM,Non-REM,Non-REM,False
218,Non-REM,Non-REM,Non-REM,Non-REM,False
219,Non-REM,Non-REM,REM,Non-REM,False
220,Non-REM,Non-REM,Non-REM,Non-REM,False
221,Non-REM,Non-REM,Non-REM,Non-REM,False
222,Non-REM,Non-REM,Non-REM,Non-REM,False
223,Non-REM,Non-REM,REM,Non-REM,False
224,Non-REM,Non-REM,Non-REM,Non-REM,False
225,Non-REM,Non-REM,REM,REM,True
226,Non-REM,Non-REM,REM,Non-REM,False
227,Non-REM,Non-REM,REM,REM,True
228,Non-REM,Non-REM,REM,Non-REM,False
229,Non-REM,Non-REM,Non-REM,Non-REM,False
230,Non-REM,Non-REM,Non-REM,Non-REM,False
231,Non-REM,Non-REM,Non-REM,Non-REM,False
232,Non-REM,Non-REM,REM,REM,True
233,Non-REM,Non-REM,REM,Non-REM,False
234,Non-REM,Non-REM,Non-REM,Non-REM,False
235,Non-REM,Non-REM,REM,Non-REM,False
236,Non-REM,Non-REM,Non-REM,Non-REM,False
237,Non-REM,Non-REM,Non-REM,Non-REM,False
238,Non-REM,Non-REM,Non-REM,Non-REM,False
239,Non-REM,Non-REM,Non-REM,Non-REM,False
240,Non-REM,Non-REM,Non-REM,Non-REM,False
241,Non-REM,Non-REM,REM,Non-REM,False
242,Non-REM,Non-REM,REM,REM,True
243,Non-REM,Non-REM,REM,Non-REM,False
244,Non-REM,Non-REM,REM,REM,True
245,Non-REM,Non-REM,REM,Non-REM,False
246,Non-REM,Non-REM,Non-REM,Non-REM,False
247,Non-REM,Non-REM,Non-REM,Non-REM,False
248,Non-REM,Non-REM,Non-REM,Non-REM,False
249,Non-REM,Non-REM,Non-REM,Non-REM,False
250,Non-REM,Non-REM,Non-REM,Non-REM,False
251,Non-REM,Non-REM,Non-REM,Non-REM,False
252,Non-REM,Non-REM,Non-REM,Non-REM,False
253,Non-REM,Non-REM,Non-REM,Non-REM,False
254,REM,REM,Non-REM,Non-REM,True
255,Non-REM,Non-REM,REM,Non-REM,False
256,Non-REM,Non-REM,Non-REM,Non-REM,False
257,Non-REM,Non-REM,Non-REM,Non-REM,False
258,Non-REM,Non-REM,Non-REM,Non-REM,False
259,Non-REM,Non-REM,Non-REM,Non-REM,False
260,Non-REM,Non-REM,Non-REM,Non-REM,False
261,Non-REM,Non-REM,Non-REM,Non-REM,False
262,Non-REM,Non-REM,Non-REM,Non-REM,False
263,Non-REM,Non-REM,Non-REM,Non-REM,False
264,Non-REM,Non-REM,Non-REM,Non-REM,False
265,Non-REM,Non-REM,Non-REM,Non-REM,False
266,Non-REM,Non-REM,Non-REM,Non-REM,False
267,Non-REM,Non-REM,Non-REM,Non-REM,False
268,Non-REM,Non-REM,Non-REM,Non-REM,False
269,Non-REM,Non-REM,Non-REM,Non-REM,False
270,Non-REM,Non-REM,Non-REM,Non-REM,False
271,Non-REM,Non-REM,Non-REM,Non-REM,False
272,Non-REM,Non-REM,Non-REM,Non-REM,False
273,Non-REM,Non-REM,Non-REM,Non-REM,False
274,REM,REM,Non-REM,Non-REM,True
275,Non-REM,Non-REM,Non-REM,Non-REM,False
276,Non-REM,Non-REM,Non-REM,Non-REM,False
277,Non-REM,Non-REM,Non-REM,Non-REM,False
278,Non-REM,Non-REM,Non-REM,Non-REM,False
279,Non-REM,Non-REM,Non-REM,Non-REM,False
280,Non-REM,Non-REM,Non-REM,Non-REM,False
281,Non-REM,Non-REM,Non-REM,Non-REM,False
282,REM,REM,Non-REM,Non-REM,True
283,Non-REM,Non-REM,Non-REM,Non-REM,False
284,REM,REM,Non-REM,Non-REM,True
285,Non-REM,Non-REM,Non-REM,Non-REM,False
286,Non-REM,Non-REM,Non-REM,Non-REM,False
287,Non-REM,Non-REM,Non-REM,Non-REM,False
288,Non-REM,Non-REM,Non-REM,Non-REM,False
289,Non-REM,Non-REM,Non-REM,Non-REM,False
290,Non-REM,Non-REM,Non-REM,Non-REM,False
291,Non-REM,Non-REM,Non-REM,Non-REM,False
292,Non-REM,Non-REM,Non-REM,Non-REM,False
293,Non-REM,Non-REM,Non-REM,Non-REM,False
294,Non-REM,Non-REM,Non-REM,Non-REM,False
295,Non-REM,Non-REM,Non-REM,Non-REM,False
296,Non-REM,Non-REM,Non-REM,Non-REM,False
297,Non-REM,Non-REM,Non-REM,Non-REM,False
298,Non-REM,Non-REM,Non-REM,Non-REM,False
299,Non-REM,Non-REM,Non-REM,Non-REM,False
300,REM,REM,Non-REM,Non-REM,True
301,Non-REM,Non-REM,Non-REM,Non-REM,False
302,REM,REM,Non-REM,Non-REM,True
303,Non-REM,Non-REM,REM,Non-REM,False
304,Non-REM,Non-REM,REM,REM,True
305,Non-REM,Non-REM,REM,REM,True
306,Non-REM,Non-REM,Non-REM,Non-REM,False
307,Non-REM,Non-REM,Non-REM,Non-REM,False
308,REM,REM,Non-REM,Non-REM,True
309,Non-REM,Non-REM,Non-REM,Non-REM,False
310,REM,REM,Non-REM,Non-REM,True
311,Non-REM,Non-REM,Non-REM,Non-REM,False
312,Non-REM,Non-REM,Non-REM,Non-REM,False
313,Non-REM,Non-REM,Non-REM,Non-REM,False
